Datetime,AGG Open,AGG High,AGG Low,AGG Close,AGG Volume,Open,High,Low,Close,Volume,Actual Returns,RSI,RSI Signal,RSI Strategy Returns,MACD,MACD Signal,MACD Strategy Returns,PZO,PZO Signal,PZO Strategy Returns,SMA_Fast,SMA_Slow,SMA Signal,SMA Strategy Returns,CFI,EMA,CFI Signal,CFI Strategy Returns,MACD_norm,SMA_Fast_norm,SMA_Slow_norm,SMA_Gap
2023-07-12 09:30:00,97.51000213623047,97.5999984741211,97.44999694824219,97.45999908447266,751951,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12 09:45:00,97.44999694824219,97.58000183105469,97.44999694824219,97.58000183105469,243216,446.3299865722656,447.07000732421875,446.2099914550781,446.92999267578125,4693408.0,,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,446.92999267578125,0.0,,,,,
2023-07-12 10:00:00,97.58000183105469,97.6500015258789,97.52999877929688,97.63500213623047,303563,446.9400939941406,447.1868896484375,446.5199890136719,447.1300048828125,3138686.0,0.0004475246913588915,,0.0,0.0,,0.0,0.0,53.58255693850702,1.0,0.0,,,1.0,0.0,,447.0411105685764,-1.0,0.0,,,,
2023-07-12 10:15:00,97.63999938964844,97.67500305175781,97.58999633789062,97.59500122070312,89925,447.2699890136719,447.3399963378906,446.8500061035156,447.21990966796875,3305297.0,0.0002010707941191292,,0.0,0.0,,0.0,0.0,71.31865722765333,1.0,0.0002010707941191292,,,1.0,0.0002010707941191292,,447.1143888879994,-1.0,-0.0002010707941191292,,,,
2023-07-12 10:30:00,97.5999984741211,97.62000274658203,97.55999755859375,97.58670043945312,63812,447.2200012207031,447.4798889160156,446.9750061035156,447.29998779296875,3336383.0,0.00017905760291281325,,0.0,0.0,,0.0,0.0,80.09571795284515,1.0,0.00017905760291281325,447.1449737548828,,1.0,0.00017905760291281325,,447.17726114578034,-1.0,-0.00017905760291281325,,0.9996534450205313,,
2023-07-12 10:45:00,97.58999633789062,97.6500015258789,97.58000183105469,97.63999938964844,170161,447.30999755859375,447.3500061035156,446.7749938964844,446.9894104003906,1485090.0,-0.00069433803052521,,0.0,-0.0,,0.0,-0.0,33.12273744635269,1.0,-0.00069433803052521,447.15982818603516,,-1.0,-0.00069433803052521,,447.1213797960095,1.0,0.00069433803052521,,1.0003812568747252,,
2023-07-12 11:00:00,97.64350128173828,97.66000366210938,97.61000061035156,97.6500015258789,167237,446.9800109863281,447.0899963378906,446.5899963378906,446.8699951171875,1730458.0,-0.0002671546135649683,,0.0,-0.0,,0.0,-0.0,2.3337455998608023,0.0,-0.0002671546135649683,447.0948257446289,,-1.0,0.0002671546135649683,,447.053240571331,1.0,-0.0002671546135649683,,1.0005031231228279,,
2023-07-12 11:15:00,97.64009857177734,97.7300033569336,97.64009857177734,97.70500183105469,90069,446.8800048828125,447.1199951171875,446.54998779296875,446.6199951171875,1329851.0,-0.000559446825098342,,0.0,-0.0,,0.0,-0.0,-19.21330942651419,0.0,-0.0,446.9448471069336,,-1.0,0.000559446825098342,,446.9435977048243,1.0,-0.000559446825098342,,1.0007273565744876,,
2023-07-12 11:30:00,97.70500183105469,97.72989654541016,97.66000366210938,97.71880340576172,81655,446.6199951171875,446.7200012207031,445.01959228515625,445.5199890136719,5094421.0,-0.0024629575826021766,,0.0,-0.0,,0.0,-0.0,-34.97276694150636,-1.0,-0.0,446.4998474121094,,-1.0,0.0024629575826021766,,446.601477765373,1.0,-0.0024629575826021766,,1.002199359002066,,
2023-07-12 11:45:00,97.71499633789062,97.78500366210938,97.71499633789062,97.75,158346,445.510009765625,445.9200134277344,444.9800109863281,445.17498779296875,3265095.0,-0.0007743787691028015,,0.0,-0.0,,0.0,-0.0,-46.912737260801826,-1.0,0.0007743787691028015,446.0462417602539,,-1.0,0.0007743787691028015,,446.2719515048944,1.0,-0.0007743787691028015,,1.0019571044896403,,
